,GP,PUNTS,PUNT_YDS,LNG,PUNT_AVG,NET,PBLK,IN20,TB,FC,ATT,RETURN_YDS,RETURN_AVG,PlayerID
0,16,79,3313,67,41.9,37.7,1,34,7,26,18,157,8.7,Corey Bojorquez9
1,16,69,3105,62,45.0,41.1,0,23,2,20,29,229,7.9,Matt Haack2
2,16,81,3638,65,44.9,41.3,0,36,6,18,28,175,6.3,Jake Bailey7
3,16,40,1855,62,46.4,39.8,1,21,4,10,15,143,9.5,Sam Koch4
4,16,75,3394,63,45.3,42.1,0,30,5,30,24,136,5.7,Kevin Huber10
5,16,63,2913,71,46.2,41.6,1,28,5,18,20,151,7.6,Jamie Gillan7
6,16,1,37,37,37.0,37.0,0,1,0,0,0,0,0.0,Austin Seibert4
7,16,74,3368,69,45.5,40.9,0,24,4,24,29,265,9.1,Jordan Berry4
8,14,45,2094,71,46.5,44.5,0,24,2,16,17,53,3.1,Bryan Anger9
9,16,1,26,26,26.0,26.0,0,1,0,0,0,0,0.0,Ka'imi Fairbairn7
10,16,59,2619,60,44.4,41.2,0,22,1,15,28,166,5.9,Rigoberto Sanchez8
11,16,75,3507,66,46.8,44.5,0,25,2,26,24,127,5.3,Logan Cooke9
12,16,78,3672,70,47.1,43.1,0,37,2,19,30,269,9.0,Brett Kern6
13,16,67,3081,74,46.0,39.4,0,33,6,20,30,318,10.6,AJ Cole6
14,16,48,2256,60,47.0,40.9,0,17,2,8,33,252,7.6,Ty Long1
15,16,50,2079,58,41.6,37.0,1,18,2,18,18,154,8.6,Chris Jones95
16,16,50,2079,58,41.6,37.0,1,18,2,18,18,154,8.6,Chris Jones25
17,16,50,2079,58,41.6,37.0,1,18,2,18,18,154,8.6,Chris Jones6
18,16,69,3178,62,46.1,42.3,2,29,2,17,24,136,5.7,Riley Dixon9
19,16,71,3292,61,46.4,42.3,0,28,4,19,32,207,6.5,Cameron Johnston1
20,16,79,3919,79,49.6,44.1,0,30,4,19,39,354,9.1,Tress Way5
21,16,76,3445,62,45.3,41.8,0,31,7,22,29,130,4.5,Sam Martin5
22,16,77,3386,66,44.0,39.9,0,29,4,25,26,233,9.0,JK Scott6
23,16,62,2802,59,45.2,42.6,0,24,0,24,23,158,6.9,Britton Colquitt2
24,8,28,1172,59,41.9,37.5,0,14,3,8,8,62,7.8,Ryan Allen9
25,16,60,2770,64,46.2,43.1,0,29,1,21,24,166,6.9,Thomas Morstead6
26,15,61,2913,64,47.8,41.2,1,21,4,15,31,278,9.0,Andy Lee4
27,2,6,291,55,48.5,44.2,0,2,1,0,4,6,1.5,Ryan Winslow9
28,16,2,84,44,42.0,42.0,0,0,0,1,0,0,0.0,Zane Gonzalez5
29,16,66,3128,71,47.4,42.4,1,22,5,14,23,190,8.3,Johnny Hekker6
30,16,52,2333,65,44.9,41.6,0,23,2,13,23,131,5.7,Mitch Wishnowsky6
31,16,74,3341,63,45.1,40.9,0,34,5,18,34,213,6.3,Michael Dickson4
