,TM,Team
0,ARI,Arizona Cardinals
1,ATL,Atlanta Falcons
2,BAL,Baltimore Ravens
3,BUF,Buffalo Bills
4,CAR,Carolina Panthers
5,CHI,Chicago Bears
6,CIN,Cincinnati Bengals
7,CLE,Cleveland Browns
8,DAL,Dallas Cowboys
9,DEN,Denver Broncos
10,DET,Detroit Lions
11,GB,Green Bay Packers
12,HOU,Houston Texans
13,IND,Indianapolis Colts
14,JAX,Jacksonville Jaguars
15,KC,Kansas City Chiefs
16,LAC,Los Angeles Chargers
17,LAR,Los Angeles Rams
18,LV,Las Vegas Raiders
19,MIA,Miami Dolphins
20,MIN,Minnesota Vikings
21,NE,New England Patriots
22,NO,New Orleans Saints
23,NYG,New York Giants
24,NYJ,New York Jets
25,PHI,Philadelphia Eagles
26,PIT,Pittsburgh Steelers
27,SEA,Seattle Seahawks
28,SF,San Francisco 49ers
29,TB,Tampa Bay Buccaneers
30,TEN,Tennessee Titans
31,WAS,Washington Redskins
